City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Corpus Christi,60,Texas,14.1,316381,27.8005828
Lexington-Fayette,61,Kentucky,18,308428,38.0405837
Pittsburgh,62,Pennsylvania,-8.3,305841,40.4406248
Anchorage,63,Alaska,15.4,300950,61.2180556
Stockton,64,California,21.8,298118,37.9577016
Cincinnati,65,Ohio,-10.1,297517,39.1031182
St. Paul,66,Minnesota,2.8,294873,44.9537029
Toledo,67,Ohio,-10,282313,41.6639383
Greensboro,68,North Carolina,22.3,279639,36.0726354
Newark,69,New Jersey,2.1,278427,40.735657
Plano,70,Texas,22.4,274409,33.0198431
Henderson,71,Nevada,51,270811,36.0395247
